Date/time,Loop number,Mag field x,Mag field y,Mag field z,Latitude,Longitude
2020-04-29 23:29:25.456467,6,23.63,-9.94,57.22,41.43868597748107,60.6929243609499
2020-04-29 23:30:36.470827,7,23.19,-10.04,58.14,43.89467856904509,65.6708345299469
2020-04-29 23:30:47.418029,8,22.68,-10.42,59.28,44.25272050043174,66.47993873902661
2020-04-29 23:30:58.365558,9,22.14,-10.39,59.81,44.604301072863564,67.29943849602307
2020-04-29 23:31:09.310593,10,21.81,-10.34,60.21,44.949259776895055,68.12938844244967
2020-04-29 23:31:20.265867,11,21.52,-10.19,60.6,45.28743610308073,68.96984321981974
2020-04-29 23:32:31.238446,12,20.66,-10.31,61.56,47.295897624752584,74.64837370330913
2020-04-29 23:32:42.151735,13,19.88,-10.28,62.08,47.57831228655427,75.56725954291845
2020-04-29 23:32:53.066994,14,19.49,-10.4,62.67,47.8525409666357,76.49646579836367
2020-04-29 23:33:04.017097,15,19.09,-10.57,63.34,48.1184163253622,77.43590367718556
2020-04-29 23:33:14.961867,16,18.73,-10.48,63.45,48.375774438193694,78.38543657560074
2020-04-29 23:34:25.941827,17,17.92,-10.63,63.95,49.82097416467669,84.74552431560902
2020-04-29 23:34:36.889062,18,17.28,-10.84,64.69,49.9930300449639,85.67138377836092
2020-04-29 23:34:47.834333,19,16.82,-10.85,64.92,50.17291673713452,86.6976743426687
2020-04-29 23:34:58.789453,20,16.32,-10.92,65.31,50.34285184368444,87.73184694527868
2020-04-29 23:35:09.729634,21,16.05,-10.76,65.84,50.50269876083025,88.77356007673234
2020-04-29 23:36:20.707963,22,14.87,-10.93,66.44,51.283829930164174,95.65130785393589
2020-04-29 23:36:31.687388,23,14.1,-11.19,66.61,51.36496916240934,96.73600336583644
2020-04-29 23:36:42.609306,24,13.25,-11.12,66.41,51.4351766768879,97.82444865159133
2020-04-29 23:36:53.550739,25,12.87,-11.22,66.89,51.49439441699191,98.91611778663447
2020-04-29 23:37:04.494236,26,12.3,-11.14,67.28,51.54256432611343,100.0104780162106
2020-04-29 23:38:15.477481,27,11.41,-11.35,67.04,51.58580625374878,107.10127988419435
2020-04-29 23:38:26.423022,28,10.75,-11.42,66.98,51.55096887388713,108.19818094414171
2020-04-29 23:38:37.370867,29,9.92,-11.96,66.98,51.50503926681338,109.2930534379056
2020-04-29 23:38:48.315664,30,9.38,-11.98,66.7,51.44805158347337,110.38535778054154
2020-04-29 23:38:59.272441,31,8.95,-12.13,66.53,51.38006046538048,111.47454755691597
2020-04-29 23:40:10.274146,32,7.94,-12.26,65.97,50.681291132153156,118.39552360137652
2020-04-29 23:40:21.231222,33,7.09,-12.51,65.87,50.533718064945866,119.4459110730761
2020-04-29 23:40:32.174096,34,6.45,-12.55,65.47,50.37590312907813,120.48920880841722
2020-04-29 23:40:43.136671,35,6.19,-12.4,65.25,50.20797268304962,121.52506163756301
2020-04-29 23:40:54.068784,36,5.67,-12.43,64.74,50.030059915549124,122.55310073029831
2020-04-29 23:42:05.048990,37,4.85,-12.58,63.74,48.65115400515027,128.9799672298218
2020-04-29 23:42:15.995537,38,4.11,-12.53,63.33,48.40339913829181,129.94071529885414
2020-04-29 23:42:26.941440,39,3.37,-12.65,62.82,48.146935780241584,130.89153227283327
2020-04-29 23:42:37.886540,40,2.9,-12.71,62.16,47.90636968748457,131.7471637305391
2020-04-29 23:42:48.833758,41,2.5,-12.84,62.03,47.63374268676351,132.67862394841043
2020-04-29 23:43:59.814192,42,1.76,-12.75,61.01,45.683501697576844,138.4398885133162
2020-04-29 23:44:10.762793,43,1.3,-12.79,60.47,45.35358307009772,139.2931977067042
2020-04-29 23:44:21.715912,44,0.8,-12.9,59.61,45.01668057419226,140.1359747483921
2020-04-29 23:44:32.669652,45,0.46,-12.84,59.08,44.67295813440053,140.9682196383798
2020-04-29 23:44:43.601549,46,0.12,-13.07,58.47,44.32257967526263,141.7900143389374
2020-04-29 23:45:54.551023,47,-0.34,-13.57,57.15,41.911471671829354,146.84735960798164
2020-04-29 23:46:05.503571,48,-0.99,-13.86,56.1,41.51634181324953,147.59359875594055
2020-04-29 23:46:16.443261,49,-1.39,-13.98,55.51,41.11583659579291,148.33015269565638
2020-04-29 23:46:27.391028,50,-1.82,-14.02,54.55,40.710092623242886,149.05714437053422
2020-04-29 23:46:38.347249,51,-1.77,-13.25,53.92,40.29925332957204,149.7747103843574
2020-04-29 23:47:49.316546,52,-2.2,-13.55,52.45,37.53367899878261,154.18887039963988
2020-04-29 23:48:00.231256,53,-2.44,-13.62,51.9,37.08889024984221,154.84062071062084
2020-04-29 23:48:11.177480,54,-2.51,-13.9,51.25,36.64006144400775,155.48418845497613
2020-04-29 23:48:22.125834,55,-2.72,-14.13,50.28,36.187298449211355,156.11971023648914
2020-04-29 23:48:33.070389,56,-2.71,-14.06,49.47,35.73071737866893,156.74736364007828
2020-04-29 23:49:44.025037,57,-3.05,-14.11,48.32,32.698745179681495,160.6196301069903
2020-04-29 23:49:54.964169,58,-3.0,-14.15,47.43,32.21687533373709,161.1934752802981
2020-04-29 23:50:05.911906,59,-3.26,-14.13,46.9,31.776208603960796,161.70944143057918
2020-04-29 23:50:17.247847,60,-3.2,-14.29,46.17,31.288697021761966,162.2708693199759
2020-04-29 23:50:28.174629,61,-3.27,-14.32,45.91,30.753640492750677,162.8761880049791
2020-04-29 23:51:39.152535,62,-3.31,-14.44,44.76,27.524612213566495,166.3150106671621
2020-04-29 23:51:50.073644,63,-3.56,-14.35,43.65,27.015457469435187,166.82746610020982
